CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Boards & Toys Co.                   , 3105552373       , Young          , Leslie          
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
